date,circulating,bridgedTo,bridgedTo_bridges_not-found_not-found_amount,minted,chain,peg_type,bridgedTo_bridges_not-found_ethereum_amount
2024-02-13,27564.0,27564.0,27564.0,,Optimism,peggedUSD,
2024-02-14,994026.0,994026.0,994026.0,,Optimism,peggedUSD,
2024-02-15,1755450.0,1755450.0,1755450.0,,Optimism,peggedUSD,
2024-02-16,1755450.0,1755450.0,1755450.0,,Optimism,peggedUSD,
2024-02-17,2005702.0,2005702.0,2005702.0,,Optimism,peggedUSD,
2024-02-18,2182942.0,2182942.0,2182942.0,,Optimism,peggedUSD,
2024-02-19,2269046.0,2269046.0,2269046.0,,Optimism,peggedUSD,
2024-02-20,2289046.0,2289046.0,2289046.0,,Optimism,peggedUSD,
2024-02-21,2591066.0,2591066.0,2591066.0,,Optimism,peggedUSD,
2024-02-22,2591066.0,2591066.0,2591066.0,,Optimism,peggedUSD,
2024-02-23,2591066.0,2591066.0,2591066.0,,Optimism,peggedUSD,
2024-02-24,3432313.0,3432313.0,3432313.0,,Optimism,peggedUSD,
2024-02-25,3635652.0,3635652.0,3635652.0,,Optimism,peggedUSD,
2024-02-26,3635652.0,3635652.0,3635652.0,,Optimism,peggedUSD,
2024-02-27,3635652.0,3635652.0,3635652.0,,Optimism,peggedUSD,
2024-02-28,3655652.0,3655652.0,3655652.0,,Optimism,peggedUSD,
2024-02-29,4207654.0,4207654.0,4207654.0,,Optimism,peggedUSD,
2024-03-01,4334324.0,4334324.0,4334324.0,,Optimism,peggedUSD,
2024-03-02,4525572.0,4525572.0,4525572.0,,Optimism,peggedUSD,
2024-03-03,4525572.0,4525572.0,4525572.0,,Optimism,peggedUSD,
2024-03-04,4525572.0,4525572.0,4525572.0,,Optimism,peggedUSD,
2024-03-05,4525572.0,4525572.0,4525572.0,,Optimism,peggedUSD,
2024-03-06,4368914.0,4368914.0,4368914.0,,Optimism,peggedUSD,
2024-03-07,3729453.0,3729453.0,3729453.0,,Optimism,peggedUSD,
2024-03-08,3706160.0,3706160.0,3706160.0,,Optimism,peggedUSD,
2024-03-09,3270840.0,3270840.0,3270840.0,,Optimism,peggedUSD,
2024-03-10,3270840.0,3270840.0,3270840.0,,Optimism,peggedUSD,
2024-03-11,3270840.0,3270840.0,3270840.0,,Optimism,peggedUSD,
2024-03-12,3270840.0,3270840.0,3270840.0,,Optimism,peggedUSD,
2024-03-13,3204580.0,3204580.0,3204580.0,,Optimism,peggedUSD,
2024-03-14,2762996.0,2762996.0,2762996.0,,Optimism,peggedUSD,
2024-03-15,2762996.0,2762996.0,2762996.0,,Optimism,peggedUSD,
2024-03-16,2535993.0,2535993.0,2535993.0,,Optimism,peggedUSD,
2024-03-17,2535993.0,2535993.0,2535993.0,,Optimism,peggedUSD,
2024-03-18,2535993.0,2535993.0,2535993.0,,Optimism,peggedUSD,
2024-03-19,2535993.0,2535993.0,2535993.0,,Optimism,peggedUSD,
2024-03-20,2129599.0,2129599.0,2129599.0,,Optimism,peggedUSD,
2024-03-21,1709326.0,1709326.0,1709326.0,,Optimism,peggedUSD,
2024-03-22,1709326.0,1709326.0,1709326.0,,Optimism,peggedUSD,
2024-03-23,1709326.0,1709326.0,1709326.0,,Optimism,peggedUSD,
2024-03-24,1709326.0,1709326.0,1709326.0,,Optimism,peggedUSD,
2024-03-25,1709326.0,1709326.0,1709326.0,,Optimism,peggedUSD,
2024-03-26,1709326.0,1709326.0,1709326.0,,Optimism,peggedUSD,
2024-03-27,1910000.0,1910000.0,1910000.0,,Optimism,peggedUSD,
2024-03-28,1910000.0,1910000.0,1910000.0,,Optimism,peggedUSD,
2024-03-29,1597676.0,1597676.0,1597676.0,,Optimism,peggedUSD,
2024-03-30,1522038.0,1522038.0,1522038.0,,Optimism,peggedUSD,
2024-03-31,1593628.0,1593628.0,1593628.0,,Optimism,peggedUSD,
2024-04-01,1593628.0,1593628.0,1593628.0,,Optimism,peggedUSD,
2024-04-02,1593628.0,1593628.0,1593628.0,,Optimism,peggedUSD,
2024-04-03,1593628.0,1593628.0,1593628.0,,Optimism,peggedUSD,
2024-04-04,1593628.0,1593628.0,1593628.0,,Optimism,peggedUSD,
2024-04-05,1593628.0,1593628.0,1593628.0,,Optimism,peggedUSD,
2024-04-06,1593628.0,1593628.0,1593628.0,,Optimism,peggedUSD,
2024-04-07,1593628.0,1593628.0,1593628.0,,Optimism,peggedUSD,
2024-04-08,1603628.0,1603628.0,1603628.0,,Optimism,peggedUSD,
2024-04-09,1744510.0,1744510.0,1744510.0,,Optimism,peggedUSD,
2024-04-10,1744510.0,1744510.0,1744510.0,,Optimism,peggedUSD,
2024-04-11,1744510.0,1744510.0,1744510.0,,Optimism,peggedUSD,
2024-04-12,2047022.0,2047022.0,2047022.0,,Optimism,peggedUSD,
2024-04-13,2047022.0,2047022.0,2047022.0,,Optimism,peggedUSD,
2024-04-14,2047022.0,2047022.0,2047022.0,,Optimism,peggedUSD,
2024-04-15,2047022.0,2047022.0,2047022.0,,Optimism,peggedUSD,
2024-04-16,1985460.0,1985460.0,1985460.0,,Optimism,peggedUSD,
2024-04-17,1907067.0,1907067.0,1907067.0,,Optimism,peggedUSD,
2024-04-18,1777678.0,1777678.0,1777678.0,,Optimism,peggedUSD,
2024-04-19,1777678.0,1777678.0,1777678.0,,Optimism,peggedUSD,
2024-04-20,1777678.0,1777678.0,1777678.0,,Optimism,peggedUSD,
2024-04-21,1809757.0,1809757.0,1809757.0,,Optimism,peggedUSD,
2024-04-22,1865379.0,1865379.0,1865379.0,,Optimism,peggedUSD,
2024-04-23,1865379.0,1865379.0,1865379.0,,Optimism,peggedUSD,
2024-04-24,2228103.0,2228103.0,2228103.0,,Optimism,peggedUSD,
2024-04-25,2228103.0,2228103.0,2228103.0,,Optimism,peggedUSD,
2024-04-26,2745676.0,2745676.0,2745676.0,,Optimism,peggedUSD,
2024-04-27,3363966.0,3363966.0,3363966.0,,Optimism,peggedUSD,
2024-04-28,3414963.0,3414963.0,3414963.0,,Optimism,peggedUSD,
2024-04-29,3414963.0,3414963.0,3414963.0,,Optimism,peggedUSD,
2024-04-30,3414963.0,3414963.0,3414963.0,,Optimism,peggedUSD,
2024-05-01,3414963.0,3414963.0,3414963.0,,Optimism,peggedUSD,
2024-05-02,3979456.0,3979456.0,3979456.0,,Optimism,peggedUSD,
2024-05-03,4013156.0,4013156.0,4013156.0,,Optimism,peggedUSD,
2024-05-04,4363533.0,4363533.0,4363533.0,,Optimism,peggedUSD,
2024-05-05,4563864.0,4563864.0,4563864.0,,Optimism,peggedUSD,
2024-05-06,4759219.0,4759219.0,4759219.0,,Optimism,peggedUSD,
2024-05-07,4762552.0,4762552.0,4762552.0,,Optimism,peggedUSD,
2024-05-08,4774552.0,4774552.0,4774552.0,,Optimism,peggedUSD,
2024-05-09,4775541.0,4775541.0,4775541.0,,Optimism,peggedUSD,
2024-05-10,4792891.0,4792891.0,4792891.0,,Optimism,peggedUSD,
2024-05-11,4792891.0,4792891.0,4792891.0,,Optimism,peggedUSD,
2024-05-12,5014510.0,5014510.0,5014510.0,,Optimism,peggedUSD,
2024-05-13,5014510.0,5014510.0,5014510.0,,Optimism,peggedUSD,
2024-05-14,5014510.0,5014510.0,5014510.0,,Optimism,peggedUSD,
2024-05-15,5014510.0,5014510.0,5014510.0,,Optimism,peggedUSD,
2024-05-16,5014510.0,5014510.0,5014510.0,,Optimism,peggedUSD,
2024-05-17,5014510.0,5014510.0,5014510.0,,Optimism,peggedUSD,
2024-05-18,5016950.0,5016950.0,5016950.0,,Optimism,peggedUSD,
2024-05-19,5144959.0,5144959.0,5144959.0,,Optimism,peggedUSD,
2024-05-20,5144959.0,5144959.0,5144959.0,,Optimism,peggedUSD,
2024-05-21,5345406.0,5345406.0,5345406.0,,Optimism,peggedUSD,
2024-05-22,5545742.0,5545742.0,5545742.0,,Optimism,peggedUSD,
2024-05-23,5230501.0,5230501.0,5230501.0,,Optimism,peggedUSD,
2024-05-24,5330787.0,5330787.0,5330787.0,,Optimism,peggedUSD,
2024-05-25,5330787.0,5330787.0,5330787.0,,Optimism,peggedUSD,
2024-05-26,5330787.0,5330787.0,5330787.0,,Optimism,peggedUSD,
2024-05-27,5481277.0,5481277.0,5481277.0,,Optimism,peggedUSD,
2024-05-28,5481277.0,5481277.0,5481277.0,,Optimism,peggedUSD,
2024-05-29,5481277.0,5481277.0,5481277.0,,Optimism,peggedUSD,
2024-05-30,5481277.0,5481277.0,5481277.0,,Optimism,peggedUSD,
2024-05-31,5481277.0,5481277.0,5481277.0,,Optimism,peggedUSD,
2024-06-01,5535889.0,5535889.0,5535889.0,,Optimism,peggedUSD,
2024-06-02,5535889.0,5535889.0,5535889.0,,Optimism,peggedUSD,
2024-06-03,5537139.0,5537139.0,5537139.0,,Optimism,peggedUSD,
2024-06-04,5537139.0,5537139.0,5537139.0,,Optimism,peggedUSD,
2024-06-05,5537139.0,5537139.0,5537139.0,,Optimism,peggedUSD,
2024-06-06,5537139.0,5537139.0,5537139.0,,Optimism,peggedUSD,
2024-06-07,5537139.0,5537139.0,5537139.0,,Optimism,peggedUSD,
2024-06-08,5537139.0,5537139.0,5537139.0,,Optimism,peggedUSD,
2024-06-09,5537139.0,5537139.0,5537139.0,,Optimism,peggedUSD,
2024-06-10,5537139.0,5537139.0,5537139.0,,Optimism,peggedUSD,
2024-06-11,5537139.0,5537139.0,5537139.0,,Optimism,peggedUSD,
2024-06-12,5537139.0,5537139.0,5537139.0,,Optimism,peggedUSD,
2024-06-13,5537139.0,5537139.0,5537139.0,,Optimism,peggedUSD,
2024-06-14,5310581.0,5310581.0,5310581.0,,Optimism,peggedUSD,
2024-06-15,5310581.0,5310581.0,5310581.0,,Optimism,peggedUSD,
2024-06-16,5382581.0,5382581.0,5382581.0,,Optimism,peggedUSD,
2024-06-17,5140085.0,5140085.0,5140085.0,,Optimism,peggedUSD,
2024-06-18,5061154.0,5061154.0,5061154.0,,Optimism,peggedUSD,
2024-06-19,3936688.0,3936688.0,3936688.0,,Optimism,peggedUSD,
