id,name,symbol,gecko_id,peg_type,peg_mechanism,total_circulating
1,Tether,USDT,tether,peggedUSD,fiat-backed,150459614691.3392
2,USD Coin,USDC,usd-coin,peggedUSD,fiat-backed,60026774119.44489
3,TerraClassicUSD,USTC,terrausd,peggedUSD,algorithmic,0.0
4,Binance USD,BUSD,binance-usd,peggedUSD,fiat-backed,57792684.11594552
5,Dai,DAI,dai,peggedUSD,crypto-backed,4517354083.516296
6,Frax,FRAX,frax,peggedUSD,algorithmic,201478928.7519386
7,TrueUSD,TUSD,true-usd,peggedUSD,fiat-backed,485485718.87
8,Liquity USD,LUSD,liquity-usd,peggedUSD,crypto-backed,42058965.81084276
9,Fei USD,FEI,fei-usd,peggedUSD,algorithmic,3566768.6434767935
10,Magic Internet Money,MIM,magic-internet-money,peggedUSD,crypto-backed,59034668.23028763
11,Pax Dollar,USDP,paxos-standard,peggedUSD,fiat-backed,70111880.86068343
12,Neutrino USD,USDN,neutrino,peggedUSD,algorithmic,408891256.953596
13,YUSD Stablecoin,YUSD,yusd-stablecoin,peggedUSD,crypto-backed,11874724.373324456
14,USDD,USDD,usdd,peggedUSD,algorithmic,358397406.4408367
15,Dola,DOLA,dola-usd,peggedUSD,crypto-backed,212812204.63944054
16,Parrot USD,PAI,parrot-usd,peggedUSD,crypto-backed,4223738.199117
17,HUSD,HUSD,husd,peggedUSD,fiat-backed,192313547.97963187
18,Nexus USD,NUSD,nexus-usd,peggedUSD,crypto-backed,3499930.922591595
19,Gemini Dollar,GUSD,gemini-dollar,peggedUSD,fiat-backed,49342204.44
20,Alchemix USD,ALUSD,alchemix-usd,peggedUSD,algorithmic,14819602.036853142
21,flexUSD,FLEXUSD,flex-usd,peggedUSD,crypto-backed,166350245.33174843
22,sUSD,SUSD,nusd,peggedUSD,crypto-backed,50507354.11405618
23,Origin Dollar,OUSD,origin-dollar,peggedUSD,crypto-backed,7559968.026206476
24,Celo Dollar,CUSD,celo-dollar,peggedUSD,algorithmic,23429349.786002498
25,Reserve,RSV,reserve,peggedUSD,crypto-backed,208773.91774534236
26,mStable USD,MUSD,musd,peggedUSD,crypto-backed,3311341.577518911
27,USDK,USDK,usdk,peggedUSD,fiat-backed,488711.0
28,Vai,VAI,vai,peggedUSD,crypto-backed,2675747.915941836
29,TOR,TOR,tor,peggedUSD,crypto-backed,17070481.490329992
30,Dollar on Chain,DOC,doc,peggedUSD,crypto-backed,3377203.8779563997
31,SpiceUSD,USDS,spiceusd,peggedUSD,algorithmic,18047728.62691072
32,Sperax USD,USDS,sperax-usd,peggedUSD,crypto-backed,873865.5093960038
33,USDP Stablecoin,USDP,usdp,peggedUSD,crypto-backed,2638610.6644316986
34,USD Balance,USDB,usd-balance,peggedUSD,algorithmic,147529.41295504756
37,USDJ,USDJ,just-stablecoin,peggedUSD,crypto-backed,8775901.199200746
38,STBL,STBL,algostable,peggedUSD,crypto-backed,199975.563051
39,VOLT Protocol,VOLT,volt-protocol,peggedVAR,algorithmic,76852.2042627133
40,Rai Reflex Index,RAI,rai,peggedVAR,crypto-backed,1258369.8484317134
41,Float Protocol Float,FLOAT,float-protocol-float,peggedVAR,algorithmic,726707.9955812488
42,USDX,USDX,usdx,peggedUSD,crypto-backed,24885707.0
43,ZUSD,ZUSD,zusd,peggedUSD,fiat-backed,18644912.585369
44,dForce USD,USX,token-dforce-usd,peggedUSD,crypto-backed,15328874.928243198
45,aUSD Seed,aSEED,acala-dollar,peggedUSD,crypto-backed,2714333.295012587
46,USD+,USD+,usd,peggedUSD,crypto-backed,21304637.95735668
48,BAI Stablecoin,BAI,bai-stablecoin,peggedUSD,crypto-backed,752371.8359868516
49,Euro Tether,EURT,tether-eurt,peggedEUR,fiat-backed,25483042.499963
50,EURC,EURC,euro-coin,peggedEUR,fiat-backed,209050899.485248
51,Stasis Euro,EURS,stasis-eurs,peggedEUR,fiat-backed,19825855.141856
52,Celo Euro,CEUR,celo-euro,peggedEUR,algorithmic,3862869.846485793
53,sEUR,SEUR,seur,peggedEUR,crypto-backed,1003725.5893887752
54,USN,USN,usn,peggedUSD,algorithmic,38439516.88627533
55,EURA,EURA,ageur,peggedEUR,crypto-backed,20432815.746494778
56,Parallel,PAR,par-stablecoin,peggedEUR,crypto-backed,1492247.2999448522
57,Hedge USD,USH,hedge-usd,peggedUSD,crypto-backed,38710.705108831
58,3USD,3USD,three-usd,peggedUSD,crypto-backed,580778.4177696254
59,SigmaUSD,SIGUSD,sigmausd,peggedUSD,algorithmic,326633.9
60,HomeCoin,HOME,bacon-protocol-home,peggedUSD,crypto-backed,6066832.377963
61,Fixed Income Asset Token,FIAT,fixed-income-asset-token,peggedUSD,crypto-backed,7606.787149079511
62,PUSd,PUSD,pusd-2,peggedUSD,crypto-backed,6646.089426107518
63,Fantom USD,FUSD,fantom-usd,peggedUSD,crypto-backed,18936995.517294995
64,UXD Stablecoin,UXD,uxd-stablecoin,peggedUSD,algorithmic,341289.702767
65,USDH,USDH,usdh,peggedUSD,crypto-backed,1727003.104429
66,Frax Price Index,FPI,frax-price-index,peggedVAR,algorithmic,84992988.26238032
67,Bean,BEAN,bean,peggedUSD,algorithmic,33410060.190631
68,USDLemma,USDL,usdlemma,peggedUSD,algorithmic,175115.82098190355
70,DigitalDollar,DUSD,digitaldollar,peggedUSD,fiat-backed,2952323.89242
71,Vesta Stable,VST,vesta-stable,peggedUSD,crypto-backed,263398.637963953
72,Kolibri USD,KUSD,kolibri-usd,peggedUSD,crypto-backed,794987.2351077843
73,USDtez,USDTZ,usdtez,peggedUSD,fiat-backed,271875.288855
74,Moremoney USD,MONEY,moremoney-usd,peggedUSD,crypto-backed,31354.187630892193
75,Youves uUSD,UUSD,youves-uusd,peggedUSD,crypto-backed,11677095.514405858
76,Interest Protocol,USDI,interest-protocol,peggedUSD,crypto-backed,30857.851506412968
78,Note,NOTE,note,peggedUSD,crypto-backed,1345234.109915596
79,Lista USD,LISUSD,helio-protocol-hay,peggedUSD,crypto-backed,64240625.42781715
81,USK,USK,usk,peggedUSD,crypto-backed,1678530.725368
82,arUSD,ARUSD,arable-usd,peggedUSD,crypto-backed,78371.86133264427
83,USDW,USDW,usdw,peggedUSD,crypto-backed,1444851.739022683
84,BOB,BOB,bob,peggedUSD,crypto-backed,36356.12158443861
85,Real USD,USDR,real-usd,peggedUSD,algorithmic,44241085.665458694
87,USDi,USDI,bank-of-chain,peggedUSD,crypto-backed,3743.10702119779
88,iUSD,IUSD,iusd,peggedUSD,crypto-backed,6108537.015714
89,XAI,XAI,xai,peggedUSD,crypto-backed,4848250.054296843
90,Redeemable USD,RUSD,redeemable,peggedUSD,fiat-backed,38701.7195
91,Iron Bank EURO,IBEUR,iron-bank-euro,peggedEUR,crypto-backed,3000000.0
92,Meme Dollar,PINA,meme-dollar,peggedUSD,algorithmic,913470.8950252386
93,Djed StableCoin,DJED,djed,peggedUSD,algorithmic,3492793.8044433594
94,BaoUSD,BAOUSD,baousd,peggedUSD,crypto-backed,2000067.142794619
96,Coin98 Dollar,CUSD,coin98-dollar,peggedUSD,crypto-backed,37513.193516351515
97,USP Stablecoin,USP,platypus-usd,peggedUSD,crypto-backed,65437888.75624278
98,EUROe Stablecoin,EUROe,euroe-stablecoin,peggedEUR,fiat-backed,338281.58445500006
99,Stabl.fi Cash,CASH,stabl-fi,peggedUSD,crypto-backed,75001.02709584407
100,Digital Standard Unit,DSU,digital-standard-unit,peggedUSD,crypto-backed,773583.7264583021
101,Monerium EUR emoney,EURE,monerium-eur-money,peggedEUR,fiat-backed,23374961.615608674
102,Offshift anonUSD,ANONUSD,offshift-anonusd,peggedUSD,algorithmic,10802.846730544436
103,NXUSD,NXUSD,nxusd,peggedUSD,crypto-backed,7301226.838858352
104,Davos Protocol,DUSD,davos-protocol,peggedUSD,crypto-backed,96276.76423849649
105,DeFi Franc,DCHF,defi-franc,peggedVAR,crypto-backed,58402.3533928857
106,Electronic USD,EUSD,electronic-usd,peggedUSD,crypto-backed,22182616.040809613
107,Czodiac USD,CZUSD,czusd,peggedUSD,crypto-backed,888109.5159460758
108,Deuterium,d2O,dam-finance,peggedUSD,crypto-backed,11744.138593384518
109,eUSD,EUSD,eusd-27a558b0-8b5b-4225-a614-63539da936f4,peggedUSD,crypto-backed,156364.0261307526
110,crvUSD,crvUSD,crvusd,peggedUSD,crypto-backed,169718497.48917472
111,DAI+,DAI+,overnight-dai,peggedUSD,crypto-backed,28181.106831486803
112,USDT+,USDT+,usdtplus,peggedUSD,crypto-backed,290012.5933043383
113,SILK,SILK,silk-bcec1136-561c-4706-a42c-8b67d0d7f7d2,peggedVAR,crypto-backed,1642393.8634357164
114,CLever USD,clevUSD,clever-usd,peggedUSD,crypto-backed,89447.50029730312
115,R,R,r,peggedUSD,crypto-backed,10722183.505313257
116,GRAI,GRAI,grai,peggedUSD,crypto-backed,423407.7185186479
117,Ethos Reserve Note,ERN,ethos-reserve-note,peggedUSD,crypto-backed,103598.45777874831
118,GHO,GHO,gho,peggedUSD,crypto-backed,263497929.52729458
119,First Digital USD,FDUSD,first-digital-usd,peggedUSD,fiat-backed,1249678218.579684
120,PayPal USD,PYUSD,paypal-usd,peggedUSD,fiat-backed,911962520.863529
122,GYEN,GYEN,gyen,peggedJPY,fiat-backed,1454264357.983492
123,STAR,STAR,preon-star,peggedUSD,crypto-backed,261088.90805629763
124,peg-eUSD,peUSD,peusd,peggedUSD,crypto-backed,1291086.0609947497
125,eUSD (V2),eUSD(v2),eusd-v2,peggedUSD,crypto-backed,2297537.0428160196
126,mkUSD,mkUSD,prisma-mkusd,peggedUSD,crypto-backed,305996.58259999345
127,Alternity CNY,LCNY,alternity-cny,peggedCNY,crypto-backed,37300.0
128,Nexus,NEX,nexus1,peggedUSD,algorithmic,5176.8864570000005
129,Ondo US Dollar Yield,USDY,ondo-us-dollar-yield,peggedUSD,fiat-backed,581760300.1498424
130,Savvy USD,SVUSD,savvy-usd,peggedUSD,fiat-backed,173782.42882411354
131,UAHT,UAHT,uaht,peggedUAH,fiat-backed,444677.48
132,USDM,USDM,mountain-protocol-usdm,peggedUSD,fiat-backed,27810963.192827504
133,NARS,NARS,num-ars,peggedARS,fiat-backed,3100000000.0
134,Phase Dollar,CASH,phase-dollar,peggedUSD,fiat-backed,1033.8309988772971
135,Inter Stable Token,IST,inter-stable-token,peggedUSD,crypto-backed,827171.142977
137,Collateralized Debt Token,CDT,collateralized-debt-token,peggedVAR,crypto-backed,24040.35107
138,ARYZE eUSD,eUSD,aryze-eusd,peggedUSD,fiat-backed,22076.94876920265
139,ARYZE eEUR,eEUR,aryze-eeur,peggedEUR,fiat-backed,23642.276259610095
140,ARYZE eGBP,eGBP,aryze-egbp,peggedGBP,fiat-backed,5445.426567533039
142,HYDT,HYDT,hydt-protocol-hydt,peggedUSD,algorithmic,88973.52108760581
143,Verified USD,USDV,verified-usd-foundation-usdv,peggedUSD,fiat-backed,504282.64157300006
144,High Yield USD,HYUSD,high-yield-usd,peggedUSD,algorithmic,3341167.170105129
